"Rank","NCT Number","Title","Recruitment","Study Results","Conditions","Interventions","Sponsor/Collaborators","Gender","Age Groups","Phases","Enrollment","Funded Bys","Study Types","Study Designs","Other IDs","First Received","Start Date","Completion Date","Last Updated","Last Verified","Results First Received","Acronym","Primary Completion Date","Outcome Measures","URL"
486,"NCT02463019","Roll-over After 3-year Trial for Tenofovir in Mild Chronic Hepatitis B","Enrolling by invitation","No Results Available","Chronic Hepatitis B|Antiviral Treatment","Drug: Tenofovir Disoproxil Fumarate","E-DA Hospital|Taipei Institute of Pathology","Both","Adult|Senior","Phase 4","160","Other","Interventional","Allocation: Non-Randomized|Endpoint Classification: Efficacy Study|Intervention Model: Single Group Assignment|Primary Purpose: Treatment|Masking: Open Label","EDAHospital","May 14, 2015","January 2015","January 2020","June 2, 2015","June 2015","No Study Results Posted","null","January 2019","Change of liver histopathology|Virological response|Drug resistance","https://ClinicalTrials.gov/show/NCT02463019"
487,"NCT00115908","A Study of Albuferon and Ribavirin in Interferon Naive Subjects With Chronic Hepatitis C Genotype 1","Completed","No Results Available","Hepatitis C, Chronic","Drug: Albuferon|Drug: Ribavirin|Drug: PEG-IFNalfa2a","Human Genome Sciences Inc.","Both","Adult","Phase 2","458","Industry","Interventional","Allocation: Randomized|Endpoint Classification: Safety/Efficacy Study|Intervention Model: Parallel Assignment|Primary Purpose: Treatment|Masking: Open Label","ALFR-HC-04","June 26, 2005","May 2005","May 2007","November 5, 2013","November 2013","No Study Results Posted","null","May 2007","Sustained virologic response (SVR), defined as undetectable HCV RNA at 24 weeks after the end of therapy.|Virologic response at Week 4 (VR4), defined as undetectable HCV RNA or a > 2-log reduction in HCV RNA.|Early virologic response at Week 12 (EVR12), defined as undetectable HCV RNA or a > 2-log reduction in HCV RNA.|Undetectable HCV RNA at Week 24.|End of treatment response (ETR), defined as undetectable HCV RNA at Week 48","https://ClinicalTrials.gov/show/NCT00115908"
488,"NCT01599130","Efficacy of Peg-interferon α-2a in Hepatitis B Patients Treated by Entecavir Without HBeAg Loss","Not yet recruiting","No Results Available","Hepatitis B","Drug: Entecavir|Drug: Peginterferon alfa-2a","Sun Yat-sen University","Both","Adult","","60","Other","Interventional","Allocation: Randomized|Endpoint Classification: Efficacy Study|Intervention Model: Parallel Assignment|Primary Purpose: Treatment|Masking: Open Label","Zhangyufeng","May 8, 2012","July 2012","April 2014","May 14, 2012","May 2012","No Study Results Posted","null","April 2014","HBeAg sericonversion rate|HBeAg loss rate|HBeAg quantification dynamic change|HBsAg loss rate|HBsAg seroconversion rate|HBsAg quantification dynamic change|ALT normalization rate","https://ClinicalTrials.gov/show/NCT01599130"
489,"NCT01342185","Efficacy of Medical Ozone Therapy in Patients With Chronic Hepatitis B","Enrolling by invitation","No Results Available","Chronic Hepatitis B","Device: medical ozone therapy with tianyi|Device: medical ozone therapy with humares|Drug: Diammonium glycyrrhizinate Capsules","Nanfang Hospital of Southern Medical University|Tianyi medical instruments limited company, Ningbo, China","Both","Child|Adult|Senior","Phase 3","189","Other","Interventional","Allocation: Randomized|Endpoint Classification: Safety/Efficacy Study|Intervention Model: Parallel Assignment|Primary Purpose: Treatment|Masking: Open Label","a4xr2dv8","February 16, 2011","March 2010","July 2013","October 17, 2012","October 2012","No Study Results Posted","EMOTCHB","July 2013","HBV DNA|HBeAg","https://ClinicalTrials.gov/show/NCT01342185"
490,"NCT01326546","Therapeutic Hepatitis B Vaccine (Synthesized Peptide εPA-44) Joint Entecavir in Treating Chronic Hepatitis B Patients","Active, not recruiting","No Results Available","Chronic Hepatitis B","Drug: Therapeutic HBV vaccine, entecavir|Drug: Empty liposome, entecavir","Chongqing Jiachen Biotechnology Ltd.|Third Military Medical University","Both","Adult","Phase 2","378","Industry|Other","Interventional","Allocation: Randomized|Endpoint Classification: Safety/Efficacy Study|Intervention Model: Parallel Assignment|Primary Purpose: Treatment|Masking: Double Blind (Subject, Caregiver, Investigator, Outcomes Assessor)","71006.04","March 28, 2011","June 2010","March 2013","June 12, 2012","June 2012","No Study Results Posted","THBVJEITCHBP","December 2012","Primary efficacy assessment is the serological conversion rate of HBeAg at week. 48|Serological response|Virological response|Biochemistry response|Histological response","https://ClinicalTrials.gov/show/NCT01326546"
491,"NCT00209755","Plasma Ribavirin Assay During Combination Therapy for Chronic Hepatitis C","Terminated","No Results Available","Chronic Hepatitis C","Procedure: therapeutic drug monitoring of ribavirin and dose adaptation","Hopital A Michallon|University Hospital, Grenoble|Central Hospital, Nancy, France","Both","Adult","","40","Other","Interventional","Allocation: Non-Randomized|Endpoint Classification: Pharmacokinetics/Dynamics Study|Intervention Model: Single Group Assignment|Primary Purpose: Diagnostic|Masking: Open Label","ribatop - afssaps #031161|N.A.","September 13, 2005","October 2003","July 2004","September 13, 2005","September 2004","No Study Results Posted","null","null","relationship between plasma ribavirin concentration and early virological response|safety|relationship between plasma ribavirin concentration and hemoglobin drop|dose effect of ribavirin on ribavirin plasma concentration","https://ClinicalTrials.gov/show/NCT00209755"
492,"NCT02112799","Safety and Efficacy Study of NVR 3-778 in Healthy Volunteers and Hepatitis B Patients","Recruiting","No Results Available","Chronic Hepatitis B","Drug: NVR 3-778|Drug: Placebo for NVR 3-778|Drug: Pegasys","Novira Therapeutics, Inc.","Both","Adult","Phase 1","84","Industry","Interventional","Allocation: Randomized|Endpoint Classification: Safety/Efficacy Study|Intervention Model: Single Group Assignment|Primary Purpose: Treatment|Masking: Double Blind (Subject, Caregiver, Investigator)","NVR3-778-101","April 9, 2014","April 2014","January 2016","October 5, 2015","October 2015","No Study Results Posted","null","November 2015","To assess the dose-related safety and tolerability of NVR 3-778 in healthy volunteers and hepatitis B patients","https://ClinicalTrials.gov/show/NCT02112799"
493,"NCT02057263","The Effect of Alendronate on the Immune Response to Hepatitis B Vaccine in Healthy Adults","Active, not recruiting","No Results Available","Hepatitis B","Drug: Alendronate|Drug: Hepatitis B Vaccine|Drug: Placebo","Massachusetts General Hospital","Both","Adult|Senior","Phase 1","20","Other","Interventional","Allocation: Randomized|Endpoint Classification: Safety/Efficacy Study|Intervention Model: Parallel Assignment|Primary Purpose: Prevention|Masking: Double Blind (Subject, Investigator, Outcomes Assessor)","2014-P-000040","February 4, 2014","April 2014","February 2016","September 30, 2015","September 2015","No Study Results Posted","null","February 2016","Safety/Adverse events|Efficacy","https://ClinicalTrials.gov/show/NCT02057263"
494,"NCT01446250","Study of DEB025/Alisporivir Plus Pegylated Interferon alfa2a and Ribavirin and Boceprevir Plus Pegylated Interferon alfa2a and Ribavirin in African American Chronic Hepatitis C Genotype 1 Patients That Have Never Received Treatment for Their Hepatitis C","Completed","No Results Available","Hepatitis C|Liver Disease","Drug: DEB025 plus peg-IFN alpha 2a and ribavirin fixed duration treatment|Drug: DEB025 plus peg-IFN alpha 2a and ribavirin response guided treatment duration|Drug: Boceprevir plus peg-IFN alpha 2a and ribavirin per label response guided treatment","Novartis Pharmaceuticals|Novartis","Both","Adult|Senior","Phase 3","210","Industry","Interventional","Allocation: Randomized|Endpoint Classification: Safety/Efficacy Study|Intervention Model: Parallel Assignment|Primary Purpose: Treatment|Masking: Open Label","CDEB025A2307","September 26, 2011","December 2011","May 2013","October 12, 2013","October 2013","No Study Results Posted","null","May 2013","Proportion of patients that discontinue study drug or require dose reduction or dose interruption due to treatment-emergent Adverse Events.|Proportion of patients with emergence of resistant mutations in each treatment arm.|Proportion of patients that achieve Sustained Viral Response Week 24 (SVR24) defined as serum HCV RNA undetectable by limit of detection (LOD) 24 weeks after end of treatment.","https://ClinicalTrials.gov/show/NCT01446250"
495,"NCT00230958","Study of Viramidine to Ribavirin in Patients With Chronic Hepatitis C Who Are Treatment-Naive","Completed","No Results Available","Chronic Hepatitis C","Drug: Viramidine|Drug: Ribavirin|Drug: pegylated interferon alfa-2b","Valeant Pharmaceuticals International, Inc.","Both","Adult|Senior","Phase 3","900","Industry","Interventional","Allocation: Randomized|Endpoint Classification: Safety/Efficacy Study|Intervention Model: Parallel Assignment|Primary Purpose: Treatment|Masking: Double-Blind","RNA003142-301","September 29, 2005","December 2003","January 2006","June 21, 2012","June 2012","No Study Results Posted","null","January 2006","- Efficacy: Undetectable plasma HCV RNA (less than 100 copies/mL) at the end of the 24-week post-treatment follow-up period.|- Safety: The proportion of patients with hemoglobin less than 10 g/dL at any time during treatment or at least 2.5 g/dL drop from baseline.|- Efficacy: Undetectable plasma HCV RNA at treatment week 24|- Efficacy: Undetectable or at least a 2-log drop from baseline at treatment weeks 12 and 24|- Safety: Monitoring of adverse events|- Safety: Monitoring of abnormal changes in laboratory parameters that are not disease-related","https://ClinicalTrials.gov/show/NCT00230958"
496,"NCT00093093","Study of Viramidine to Ribavirin in Patients With Chronic Hepatitis C Who Are Treatment Naive","Completed","No Results Available","Chronic Hepatitis C","Drug: Viramidine|Drug: Ribavirin|Drug: pegylated interferon alfa-2a","Valeant Pharmaceuticals International, Inc.","Both","Adult|Senior","Phase 3","900","Industry","Interventional","Allocation: Randomized|Endpoint Classification: Safety/Efficacy Study|Intervention Model: Parallel Assignment|Primary Purpose: Treatment|Masking: Double-Blind","RNA003142-302","September 30, 2004","June 2004","May 2006","June 21, 2012","June 2012","No Study Results Posted","VISER2","May 2006","- Efficacy: Undetectable plasma HCV RNA (less than 100 copies/mL) at the end of the 24-week post-treatment follow-up period.|- Safety: The proportion of patients with hemoglobin less than 10 g/dL at any time during treatment or at least 2.5 g/dL drop from baseline.|- Efficacy: Undetectable plasma HCV RNA at treatment week 24|- Efficacy: Undetectable or at least a 2-log drop from baseline at treatment weeks 12 and 24|- Safety: Monitoring of adverse events|- Safety: Monitoring of abnormal changes in laboratory parameters that are not disease-related","https://ClinicalTrials.gov/show/NCT00093093"
497,"NCT00657657","Safety and Immunogenicity of a Booster Dose of GlaxoSmithKline (GSK) Biologicals' Hepatitis B Vaccine","Completed","Has Results","Hepatitis B","Biological: Engerix™-B","GlaxoSmithKline","Both","Child|Adult|Senior","Phase 4","29","Industry","Interventional","Allocation: Non-Randomized|Endpoint Classification: Safety/Efficacy Study|Intervention Model: Single Group Assignment|Primary Purpose: Prevention|Masking: Open Label","110071","April 8, 2008","April 2008","August 2008","August 6, 2009","August 2009","August 6, 2009","null","August 2008","Number of Subjects With an Immune Response to a Challenge Dose of Hepatitis B Vaccine|Number of Subjects With Anti-HBs Antibody Concentrations Above Pre-defined Cut-off Values|Concentration of Anti-HBs Antibodies|Number of Subjects Reporting Unsolicited Adverse Events|Number of Subjects Reporting Serious Adverse Events","https://ClinicalTrials.gov/show/NCT00657657"
498,"NCT01402583","Menopause is a Critical Factor in Determining Failure of Antiviral Therapy in Women With Chronic Hepatitis C","Completed","No Results Available","Chronic Hepatitis C","Drug: PEG IFN/Ribavirin","Prof. Facchinetti Fabio|Merck Sharp & Dohme Corp.|University of Modena and Reggio Emilia","Both","Adult|Senior","","1000","Other|Industry","Observational","Observational Model: Cohort|Time Perspective: Retrospective","RSO-321","July 25, 2011","July 2011","September 2011","October 20, 2011","October 2011","No Study Results Posted","MEN_EPID","August 2011","","https://ClinicalTrials.gov/show/NCT01402583"
499,"NCT00205049","Pentoxifylline for Acute Alcoholic Hepatitis (AAH)","Terminated","Has Results","Hepatitis, Alcoholic","Drug: pentoxifylline","University of Wisconsin, Madison","Both","Adult|Senior","Phase 1","4","Other","Interventional","Endpoint Classification: Efficacy Study|Intervention Model: Single Group Assignment|Primary Purpose: Treatment|Masking: Double Blind (Subject, Investigator)","M-2004-0388","September 13, 2005","March 2005","November 2006","April 10, 2014","April 2014","August 4, 2011","null","November 2006","Survival at 28 Days","https://ClinicalTrials.gov/show/NCT00205049"
500,"NCT01517308","24 VS 48-WEEK TREATMENT WITH PEG-IFN ALPHA-2A IN PATIENTS WITH GENOTYPE 2/3 CHRONIC HEPATITIS C","Withdrawn","No Results Available","Chronic Hepatitis C","Drug: pegylated interferon alpha 2a + ribavirin","Federico II University","Both","Adult|Senior","Phase 3","0","Other","Interventional","Allocation: Randomized|Endpoint Classification: Efficacy Study|Intervention Model: Parallel Assignment|Primary Purpose: Treatment|Masking: Open Label","C.E. Federico II 47/11","January 17, 2012","May 2012","November 2015","March 16, 2012","March 2012","No Study Results Posted","null","November 2015","Sustained virological response (SVR)","https://ClinicalTrials.gov/show/NCT01517308"
501,"NCT02000063","Australian Trial in Acute Hepatitis C Recall Study","Completed","No Results Available","Acute Hepatitis C","","Kirby Institute|The University of New South Wales","Both","Child|Adult|Senior","","50","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","VHCRP1105","November 12, 2013","August 2012","March 2014","September 29, 2014","September 2014","No Study Results Posted","ATAHC Recall","March 2014","Long-term effects of HCV clearance|Incidence of HCV re-infection","https://ClinicalTrials.gov/show/NCT02000063"
502,"NCT01533051","Prospective Observational Cohort Study for the Durability of Anti-viral Therapy in Patients With Chronic Hepatitis B","Recruiting","No Results Available","Chronic Hepatitis B","","Yonsei University","Both","Adult|Senior","","100","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","Quit Anti-viral therapy","February 7, 2012","February 2012","March 2016","May 7, 2012","May 2012","No Study Results Posted","null","March 2015","Sustained virological response after stopping anti-viral treatment","https://ClinicalTrials.gov/show/NCT01533051"
503,"NCT00633230","Effects of Sho-saiko-to, a Herbal Formula, in Reducing Viral Load in Hepatitis C","Withdrawn","No Results Available","Hepatitis C Virus","Drug: standardized herbal formula, Sho-saiko-to (SST)|Other: placebo capsule identical to the active herbal formula","University of Virginia","Both","Adult","Phase 1","0","Other","Interventional","Allocation: Randomized|Endpoint Classification: Safety/Efficacy Study|Intervention Model: Parallel Assignment|Primary Purpose: Treatment|Masking: Double Blind (Subject, Caregiver, Investigator, Outcomes Assessor)","AGT006|IRB-HSR #12957","March 3, 2008","null","null","June 24, 2015","June 2015","No Study Results Posted","null","null","Reduction in HCV viral load, improvement in liver enzymes (ALT and AST), improvement in CD4+ and CD8+ T-cell counts.|Improvement in symptoms of depression/sadness, fear related to HCV disease progression, uncertainty, and hopelessness over time","https://ClinicalTrials.gov/show/NCT00633230"
504,"NCT00158522","Efficacy of Pegylated Interferon Alone in Egyptian Patients With Acute Hepatitis C (ANRS 1213)","Completed","No Results Available","Hepatitis C","Drug: pegylated interferon alpha2a","French National Agency for Research on AIDS and Viral Hepatitis|Hoffmann-La Roche","Both","Adult","Phase 3","31","Other|Industry","Interventional","Allocation: Non-Randomized|Endpoint Classification: Efficacy Study|Intervention Model: Single Group Assignment|Primary Purpose: Treatment|Masking: Open Label","ANRS 1213","September 8, 2005","February 2003","December 2007","February 6, 2008","February 2008","No Study Results Posted","null","December 2007","Disappearance of HCV RNA by qualitative PCR 24 weeks after the end of treatment|Changes in HCV RNA load|Normalization of ALT during treatment and 24 weeks after the end of treatment|Study of side effects","https://ClinicalTrials.gov/show/NCT00158522"
505,"NCT01448044","Phase III BMS-790052 Add-On to Peg-Interferon Alfa-2a and Ribavirin in Naive Hepatitis C","Completed","Has Results","Hepatitis C","Drug: BMS-790052 (NS5A Replication Complex Inhibitor)|Drug: Placebo matching BMS-790052|Drug: Pegylated-interferon alfa 2a|Drug: Ribavirin","Bristol-Myers Squibb","Both","Adult|Senior","Phase 3","152","Industry","Interventional","Allocation: Randomized|Endpoint Classification: Safety/Efficacy Study|Intervention Model: Parallel Assignment|Primary Purpose: Treatment|Masking: Double Blind (Subject, Investigator, Outcomes Assessor)","AI444-042|2011-002793-23","October 5, 2011","December 2011","January 2014","September 11, 2015","September 2015","August 7, 2015","null","October 2013","Percentage of Participants With 12 Week Sustained Virologic Response (SVR12)|Percentage of Participants Who Achieve HCV Ribonucleic Acid (RNA) < Limit of Quantification (LLOQ)|Percentage of Participants With Undetectable Hepatitis C Virus (HCV) RNA Levels|Percentage of Participants With Sustained Virologic Response at Follow-up Week 12 (SVR12) or Sustained Virologic Response at Follow-up Week 24 (SVR24) by rs12979860 Single Nucleotide Polymorphism (SNP) in the IL28B Gene|Number of Participants With Serious Adverse Events (SAEs), Discontinuations Due to Adverse Events (AEs) and Who Died","https://ClinicalTrials.gov/show/NCT01448044"
506,"NCT00395018","Antiviral Activity of Entecavir in Patients Receiving Liver Transplant Due to Chronic Hepatitis B Virus Infection","Completed","Has Results","Hepatitis B, Chronic","Drug: entecavir","Bristol-Myers Squibb","Both","Child|Adult|Senior","Phase 3","109","Industry","Interventional","Allocation: Non-Randomized|Endpoint Classification: Safety/Efficacy Study|Intervention Model: Single Group Assignment|Primary Purpose: Prevention|Masking: Open Label","AI463-109","November 1, 2006","April 2007","March 2011","April 30, 2012","April 2012","March 29, 2012","null","March 2011","Percentage of Participants With HBV Deoxyribonucleic Acid (DNA) => 50 IU/mL by Polymerase Chain Reaction (PCR) at Week 72|Number of Participants With HBV DNA by PCR >= 50 IU/mL Through Week 72|Distribution of ALT Levels Through 72 Weeks: Overall|Percentage of Participants With HBV DNA < 50 IU/mL (Approximately 300 Copies/mL) by PCR at the End of Post-dosing Follow-up|Percentage of Participants With HBeAg Loss at Week 72 (for HBeAg-positive Participants)|Percentage of Participants With HBeAg Seroconversion at Week 72 (for HBeAg-positive Participants)|Percentage of Participants With HBsAg Loss at Week 72|Percentage of Participants With HBsAg Seroconversion at Week 72|Percentage of Participants With HBsAg Recurrence At Week 72|Total Bilirubin at Week 72|Prothrombin Time (PT) at Week 72|Number of Participants With Liver Rejection Through Week 72|Number of Participants With Re-transplantation Through Week 72|Participants With Adverse Events (AE), Serious Adverse Events (SAE), and Discontinuations From Study Drug Due to AEs (On-treatment [OT] and Off-treatment Follow-up [OF])|Number of Participants With Laboratory Abnormalities On-treatment (OT) and Off-Treatment Follow-up(OF): Hematology (All Grades)|Number of Participants With Laboratory Abnormalities On-treatment (OT) and Off-Treatment (OF) Follow-up: Serum Chemistry (All Grades)","https://ClinicalTrials.gov/show/NCT00395018"
507,"NCT01340573","Evaluating Safety and Efficacy In Hepatitis C Patients After PegIntron Pen Treatment (Study P04896)","Terminated","Has Results","Chronic Hepatitis C","Drug: PegIntron Pen|Drug: Ribavirin","Merck Sharp & Dohme Corp.","Both","Adult|Senior","","3","Industry","Observational","Observational Model: Cohort|Time Perspective: Prospective","P04896","November 18, 2010","March 2007","October 2007","January 20, 2015","January 2015","October 4, 2011","null","October 2007","Number of Genotype-1 Participants Who Experienced Serious Adverse Events (SAE) at Week-48 of Study Treatment|Number of Genotype-1 Participants Who Experienced Serious Adverse Events (SAE) at Week-24 Follow-up|Number of Non-genotype-1 Participants Who Experienced Serious Adverse Events (SAE) at Week-24 of Study Treatment|Number of Non-genotype 1 Participants Who Experienced Serious Adverse Events (SAE) on Week-24 Follow-up|Number of Non-genotype-1 Participants Who Have Achieved Sustained Virologic Response (SVR) at Week-24 of Study Treatment|Number of Non-genotype-1 Participants Who Have Achieved Sustained Virologic Response (SVR) at Week-24 Follow-up|Number of Genotype-1 Participants Who Have Achieved Sustained Virologic Response (SVR) at Week-48 of Study Treatment|Number of Genotype-1 Participants Who Have Achieved Sustained Virologic Response (SVR) at Week-24 Follow-up|Participants' Overall Rating of Satisfaction and the Use of Training Materials for the Pegintron Pen, as Provided in a Study Questionnaire","https://ClinicalTrials.gov/show/NCT01340573"
508,"NCT00630058","A Phase 1 Study of MP-424, Peginterferon Alfa 2b, and Ribavirin in Hepatitis C","Completed","Has Results","Hepatitis C","Drug: MP-424(H), PEG-IFN-a-2b, RBV|Drug: MP-424 (L), PEG-IFN-a-2b, RBV","Mitsubishi Tanabe Pharma Corporation|Vertex Pharmaceuticals Incorporated","Both","Adult","Phase 1","20","Industry","Interventional","Allocation: Randomized|Endpoint Classification: Pharmacokinetics/Dynamics Study|Intervention Model: Parallel Assignment|Masking: Open Label","G060-A5","February 24, 2008","April 2008","March 2009","April 16, 2014","April 2014","December 12, 2012","null","March 2009","Cmax (Maximum Observed Concentration in Plasma) of MP-424|Tmax (Time of Maximum Concentration in Plasma) of MP-424|AUC 0-8h (Area Under the Concentration-time Curve From Time Zero to 8 Hours) of MP-424|Ctrough (Minimum Observed Concentration in Plasma) of MP-424|T1/2(Time of Half-Life) of MP-424|Antiviral Effects of TVR on HCV Were Assessed by Measuring Plasma HCV RNA Levels","https://ClinicalTrials.gov/show/NCT00630058"
509,"NCT01241760","VX-950-C211 - A Dosing Regimen Study (Twice Daily Versus Every 8 Hours) of Telaprevir in Treatment-naïve Participants With Genotype 1 Chronic Hepatitis C Virus Infection","Completed","Has Results","Genotype 1 Chronic Hepatitis C|Treatment Naive","Drug: Ribavirin|Drug: Telaprevir|Drug: Pegylated interferon alfa-2a|Drug: Telaprevir","Janssen Infectious Diseases BVBA|Vertex Pharmaceuticals Incorporated","Both","Adult|Senior","Phase 3","744","Industry","Interventional","Allocation: Randomized|Endpoint Classification: Efficacy Study|Intervention Model: Parallel Assignment|Primary Purpose: Treatment|Masking: Open Label","CR013711|OPTIMIZE-HCV|VX-950-C211|2010-021628-84","October 28, 2010","December 2010","November 2012","May 14, 2014","May 2014","September 23, 2013","null","August 2012","Percentage of Participants With Sustained Virologic Response (SVR) 12 Weeks After the Last Planned Dose of Study Drugs (SVR12 Planned)|Percentage of Participants With Sustained Virologic Response 24 Weeks After the Last Planned Dose of Study Drugs (SVR24 Planned)|Percentage of Participants With Sustained Virologic Response 72 Weeks After the Start of Study Medication (SVR72 Planned)|Percentage of Participants Achieving Hepatitis C Virus (HCV) Ribonucleic Acid (RNA) Values of Less Than 25 IU/ml, Target Not Detected, at Different Time Points.|Percentage of Participants With On-treatment Virologic Failure Which Required Them to Permanently Discontinue All Study Drugs|Percentage of Participants Who Relapsed During Follow-up Period|Percentage of Participants of Each IL28B Genotype Achieving Sustained Virologic Response 12 Weeks After the Last Planned Dose of Study Medication (SVR12 Planned)","https://ClinicalTrials.gov/show/NCT01241760"
510,"NCT01143662","Efficacy and Safety of Ypeginterferon Alfa-2b in HBeAg Positive Chronic Hepatitis B","Completed","No Results Available","Chronic Hepatitis B","Drug: Ypeginterferon alfa-2b|Drug: Peginterferon alfa-2a","Xiamen Amoytop Biotech Co., Ltd.|Peking University First Hospital","Both","Adult","Phase 2","205","Industry|Other","Interventional","Allocation: Randomized|Endpoint Classification: Safety/Efficacy Study|Intervention Model: Parallel Assignment|Primary Purpose: Treatment|Masking: Open Label","TB1007IFN","June 11, 2010","July 2010","April 2012","January 31, 2013","June 2010","No Study Results Posted","null","April 2011","Efficacy","https://ClinicalTrials.gov/show/NCT01143662"
511,"NCT00085917","Peginterferon Alpha-2a and Ribavirin to Treat Hepatitis C in HIV-infected Patients","Completed","Has Results","Hepatitis C|HIV Infections","Drug: Double dose pegylated interferon with weight based Ribavirin|Drug: standard dose pegylated interferon alfa -2a and ribavirin","National Institute of Allergy and Infectious Diseases (NIAID)|National Institutes of Health Clinical Center (CC)","Both","Adult|Senior","Phase 2","29","NIH","Interventional","Allocation: Randomized|Endpoint Classification: Safety/Efficacy Study|Intervention Model: Parallel Assignment|Primary Purpose: Treatment|Masking: Open Label","040187|04-I-0187","June 16, 2004","June 2004","November 2008","June 21, 2011","June 2011","April 12, 2010","PIFNPK","November 2008","Number of Participants With Sustained Virologic Response (SVR)|Number of Participants With Normalization of Liver Enzymes|Number of Participants With Adverse Events","https://ClinicalTrials.gov/show/NCT00085917"
512,"NCT02268864","A Study to Assess the Efficacy and Safety of the Combination of Simeprevir and Daclatasvir in Chronic Hepatitis C Genotype 1b-Infected Participants","Active, not recruiting","No Results Available","Hepatitis C, Chronic","Drug: Simeprevir|Drug: Daclatasvir","Janssen-Cilag International NV","Both","Adult|Senior","Phase 2","106","Industry","Interventional","Endpoint Classification: Safety/Efficacy Study|Intervention Model: Single Group Assignment|Primary Purpose: Treatment|Masking: Open Label","CR105490|2014-003413-28|TMC435HPC2019","October 15, 2014","January 2015","March 2016","September 24, 2015","September 2015","No Study Results Posted","COMMIT","November 2015","Percentage of Participants With Sustained Virologic Response 12 Weeks After end of Study Drug Treatment (SVR12)|Percentage of Participants with SVR 4 Weeks After end of Study Drug Treatment (SVR4) and SVR 24 Weeks After end of Study Drug Treatment (SVR24)|Percentage of Participants with On-treatment Failure|Percentage of Participants with viral breakthrough|Percentage of Participants With Viral Relapse","https://ClinicalTrials.gov/show/NCT02268864"
513,"NCT00943761","A Study of Vaniprevir (MK-7009) in Participants With Chronic Hepatitis C Infection After Participation in Other Vaniprevir Studies (MK-7009-028)","Completed","Has Results","Hepatitis C, Chronic","Drug: Vaniprevir 600 mg b.i.d.|Drug: Vaniprevir 300 mg b.i.d.|Drug: Pegylated interferon|Drug: Ribavirin","Merck Sharp & Dohme Corp.","Both","Adult|Senior","Phase 2","45","Industry","Interventional","Allocation: Non-Randomized|Endpoint Classification: Safety/Efficacy Study|Intervention Model: Parallel Assignment|Primary Purpose: Treatment|Masking: Open Label","7009-028|2009_615|2009-013053-15","July 21, 2009","October 2009","May 2013","September 1, 2015","September 2015","September 26, 2014","null","May 2013","Number of Participants Who Experienced an Adverse Event|Number of Participants Who Experienced a Serious Adverse Event|Number of Participants Who Discontinued Study Treatment Due to an Adverse Event|Percentage of Participants Who Achieved Sustained Viral Response 24 Weeks After the End of Treatment (SVR24)","https://ClinicalTrials.gov/show/NCT00943761"
514,"NCT01765231","Prophylactic Use of Entecavir for HBsAg Negative/HBcAb Positive/Hepatitis B Virus DNA Negative Patients With Lymphoma","Recruiting","No Results Available","Hepatitis B","Drug: Entecavir prophylaxis|Drug: Observation arm","Peking University","Both","Adult|Senior","Phase 4","190","Other","Interventional","Allocation: Randomized|Endpoint Classification: Safety/Efficacy Study|Intervention Model: Parallel Assignment|Primary Purpose: Treatment|Masking: Open Label","PKU-2012111305","January 9, 2013","January 2013","December 2016","January 21, 2015","January 2015","No Study Results Posted","null","December 2015","the incidence of hepatitis B virus reactivation and hepatitis B virus reactivation related hepatitis|the incidence of hepatitis B virus maintained response, the incidence of hepatitis B virus sustained response, the incidence of hepatitis B virus relapse and hepatitis B virus relapse related hepatitis","https://ClinicalTrials.gov/show/NCT01765231"
515,"NCT01473849","Impact of Cytomegalovirus (CMV) Replication Over Hepatitis C Recurrence in Liver Transplant Recipients","Active, not recruiting","No Results Available","Cytomegalovirus Infection|Hepatitis C","","Sociedad Española de Trasplante Hepático|Roche Farma, S.A","Both","Adult|Senior","","179","Other|Industry","Observational","Observational Model: Cohort|Time Perspective: Prospective","VHENUS","May 30, 2011","May 2010","April 2013","December 19, 2012","December 2012","No Study Results Posted","VHENUS","March 2013","Effect of CMV replication over hepatitis C recurrence|Effect of CMV replication over fibrosis in graft after Hepatitis C recurrence after transplantation|Effect of CMV recurrence over graft and patient survival|Relationship between viral charge of CMV and HCV during study period","https://ClinicalTrials.gov/show/NCT01473849"
